run_id	input_id	input_name	date	location	value	reference
16	4	average days on mechanical ventilator	NA	California	10	CHIME model default as of 4/7/20
17	1	total population	NA	California	"39,512,223"	"Data from US Census (as of July 1, 2019), https://www.census.gov/quickfacts/CA"
17	13	infections	3/1/20	California	28262	California Department of Public Health Dashboard: https://public.tableau.com/profile/ca.open.data#!/vizhome/COVID-19PublicDashboard/Covid-19Hospitals and assuming a (perhaps generous) 60% detection rate https://www.mercurynews.com/2020/04/07/governor-newsom-californias-covid-19-curve-is-stretching-cases-jump-by-10-percent/
17	14	imported infections per day	3/1/20	California	5	Assumption
17	15	average annual R0	3/1/20	California	2.7	Default data provided by Neher Lab site
17	16	latency period in days	3/1/20	California	5	Default data provided by Neher Lab site
17	9	infectious days	3/1/20	California	3	Default data provided by Neher Lab site
17	17	seasonal forcing	NA	NA	0.2	Default data provided by Neher Lab site
17	18	seasonal peak month	NA	NA	January	Default data provided by Neher Lab site
17	10	average hospital length of stay (days)	3/1/20	California	4	Default data provided by Neher Lab site
17	11	average ICU length of stay (days)	3/1/20	California	14	Default data provided by Neher Lab site
17	19	severity of ICU overflow	3/1/20	California	1.2	"Assume lower than default increase assumption about fatalities in situations with ICU overload, (default is 2, assume that hospitals manage to create extra space to drop this significantly)"
17	20	transmission relative to baseline	3/1/20	California	0.6	"Default data provided by Neher Lab site for ""moderate"" mitigation"
17	21	hospital beds	NA	California	105000	https://www.latimes.com/california/newsletter/2020-03-24/california-coronavirus-hospital-beds-newsletter-essential-california
17	22	ICU beds		California	"7,345"	https://www.mercurynews.com/2020/03/24/map-where-are-the-intensive-care-beds-in-california-the-u-s/
