model_run_id	model_id	run_name	key_assumptions	model_name	model_snapshot_date	notes	compare_across_models	compare_over_time	compare_across_assumptions
25	9	"Columbia University Model (4/16, 20% reduction in contact rate)"	Assume 20% reduction in contact rate	Columbia University Model	4/16/20	Model assumes 20% reduction in contact rates	FALSE	FALSE	FALSE
26	9	"Columbia University Model (4/16, 30% reduction in contact rate)"	Assume 30% reduction in contact rate	Columbia University Model	4/16/20	Model assumes 30% reduction in contact rates	FALSE	FALSE	FALSE
27	9	"Columbia University Model (4/16, 40% reduction in contact rate)"	Assume 40% reduction in contact rate	Columbia University Model	4/16/20	Model assumes 40% reduction in contact rates	FALSE	TRUE	FALSE
28	9	"Columbia University Model (4/19, no interventions)"	Assume no intervention	Columbia University Model	4/19/20	Model assumes no interventions	FALSE	FALSE	FALSE
29	9	"Columbia University Model (4/19, 20% reduction in contact rate)"	Assume 20% reduction in contact rate	Columbia University Model	4/19/20	Model assumes 20% reduction in contact rates	FALSE	FALSE	FALSE
30	9	"Columbia University Model (4/19, 30% reduction in contact rate)"	Assume 30% reduction in contact rate	Columbia University Model	4/19/20	Model assumes 30% reduction in contact rates	FALSE	FALSE	FALSE
31	9	"Columbia University Model (4/19, 40% reduction in contact rate)"	Assume 40% reduction in contact rate	Columbia University Model	4/19/20	Model assumes 40% reduction in contact rates	FALSE	TRUE	FALSE
32	1	IHME COVID-19 Model (4/29)	Update with new training data (4/29)	IHME COVID-19 Model	4/29/20		TRUE	TRUE	TRUE
33	1	IHME COVID-19 Model (4/22)	Update with new training data (4/22)	IHME COVID-19 Model	4/22/20		TRUE	TRUE	TRUE
34	9	"Columbia University Model (4/26, no interventions)"	Assume no intervention	Columbia University Model	4/26/20	Model assumes no interventions	FALSE	FALSE	FALSE
35	9	"Columbia University Model (4/26, 20% reduction in contact rate)"	Assume 20% reduction in contact rate	Columbia University Model	4/26/20	Model assumes 20% reduction in contact rates	FALSE	FALSE	FALSE
36	9	"Columbia University Model (4/26, 30% reduction in contact rate)"	Assume 30% reduction in contact rate	Columbia University Model	4/26/20	Model assumes 30% reduction in contact rates	FALSE	FALSE	FALSE
37	9	"Columbia University Model (4/26, 40% reduction in contact rate)"	Assume 40% reduction in contact rate	Columbia University Model	4/26/20	Model assumes 40% reduction in contact rates	FALSE	TRUE	FALSE
38	9	"Columbia University Model (4/23, no interventions)"	Assume no intervention	Columbia University Model	4/23/20	Model assumes no interventions	FALSE	FALSE	TRUE
39	9	"Columbia University Model (4/23, 20% reduction in contact rate)"	Assume 20% reduction in contact rate	Columbia University Model	4/23/20	Model assumes 20% reduction in contact rates	FALSE	FALSE	TRUE
40	9	"Columbia University Model (4/23, 30% reduction in contact rate)"	Assume 30% reduction in contact rate	Columbia University Model	4/23/20	Model assumes 30% reduction in contact rates	FALSE	FALSE	TRUE
41	9	"Columbia University Model (4/23, 40% reduction in contact rate)"	Assume 40% reduction in contact rate	Columbia University Model	4/23/20	Model assumes 40% reduction in contact rates	FALSE	TRUE	TRUE
42	13	LANL COVID-19 Model (4/29)	Update with new training data (4/29)	LANL COVID-19 Model	4/29/20		TRUE	TRUE	TRUE
43	13	LANL COVID-19 Model (4/26)	Update with new training data (4/26)	LANL COVID-19 Model	4/26/20		TRUE	FALSE	FALSE
44	13	LANL COVID-19 Model (4/22)	Update with new training data (4/22)	LANL COVID-19 Model	4/22/20		TRUE	TRUE	TRUE
45	13	LANL COVID-19 Model (4/19)	Update with new training data (4/19)	LANL COVID-19 Model	4/19/20		TRUE	TRUE	TRUE
46	10	GLEAM (4/15)	Update with new data (4/15)	GLEAM	4/15/20		TRUE	TRUE	TRUE
47	6	"COVID Act Now (5/4, ""observed intervention"")"	Assume continuation of state's current trends	COVID Act Now US Intervention Model	5/5/20		TRUE	TRUE	FALSE
48	6	"COVID Act Now (5/4, ""strong intervention"")"	"Assume strong intervention (e.g., stay at home)"	COVID Act Now US Intervention Model	5/5/20		FALSE	FALSE	FALSE
49	6	"COVID Act Now (5/4, ""weak intervention"")"	"Assume weak intervention (e.g., limited social distancing)"	COVID Act Now US Intervention Model	5/5/20		FALSE	FALSE	FALSE
50	1	IHME COVID-19 Model (5/10)	Update with new training data (5/10)	IHME COVID-19 Model	5/10/20		TRUE	TRUE	TRUE
51	6	"COVID Act Now (5/15, ""observed intervention"")"	Assume continuation of state's current trends	COVID Act Now US Intervention Model	5/15/20		TRUE	TRUE	FALSE
52	6	"COVID Act Now (5/15, ""strong intervention"")"	"Assume strong intervention (e.g., stay at home)"	COVID Act Now US Intervention Model	5/15/20		FALSE	FALSE	FALSE
53	6	"COVID Act Now (5/15, ""weak intervention"")"	"Assume weak intervention (e.g., limited social distancing)"	COVID Act Now US Intervention Model	5/15/20		FALSE	FALSE	FALSE
54	1	IHME COVID-19 Model (5/4)	Addition of SEIR modeling component (5/4)	IHME COVID-19 Model	5/4/20		TRUE	TRUE	TRUE
55	10	GLEAM (5/10)	Update with new data (5/10)	GLEAM	5/10/20		TRUE	TRUE	TRUE
56	13	LANL COVID-19 Model (5/13)	Update with new training data (5/13)	LANL COVID-19 Model	5/13/20		TRUE	TRUE	TRUE
57	13	LANL COVID-19 Model (5/6)	Update with new training data (5/6)	LANL COVID-19 Model	5/6/20		TRUE	TRUE	TRUE
58	6	"COVID Act Now (5/18, ""observed intervention"")"	Assume continuation of state's current trends	COVID Act Now US Intervention Model	5/18/20		TRUE	TRUE	TRUE
59	6	"COVID Act Now (5/18, ""strong intervention"")"	"Assume strong intervention (e.g., stay at home)"	COVID Act Now US Intervention Model	5/18/20		FALSE	FALSE	TRUE
60	6	"COVID Act Now (5/18, ""weak intervention"")"	"Assume weak intervention (e.g., limited social distancing)"	COVID Act Now US Intervention Model	5/18/20		FALSE	FALSE	TRUE
